rec;send;queue;id_1;id_2;packet_id
1587490077247;1587490074428;19;0;2;75
1587490077424;1587490074429;19;0;19;49
1587490078805;1587490074426;19;0;13;52
1587490078878;1587490074428;19;0;6;56
1587490079190;1587490074426;18;0;10;54
1587490079411;1587490074429;18;0;18;48
1587490079571;1587490074429;19;0;20;48
1587490080939;1587490074426;19;0;17;50
1587490081464;1587490081076;3;0;7;55
1587490081571;1587490081078;18;0;15;52
1587490081731;1587490081078;13;0;5;58
1587490081876;1587490081077;19;0;16;52
1587490082578;1587490081077;18;0;8;56
1587490082679;1587490081077;18;0;3;75
1587490082994;1587490081077;19;0;14;52
1587490083266;1587490081077;18;0;12;53
1587490083465;1587490081076;9;0;4;58
1587490083605;1587490081076;19;0;9;55
1587490083925;1587490081078;19;0;10;55
1587490084258;1587490081078;19;0;20;49
1587490085648;1587490081076;19;0;13;53
1587490085704;1587490081077;19;0;6;57
1587490086058;1587490081076;18;0;11;54
1587490086267;1587490074429;18;0;18;48
1587490086481;1587490081078;18;0;19;50
1587490087884;1587490081076;19;0;17;51
1587490088269;1587490088022;19;0;15;53
1587490088482;1587490074429;18;0;18;48
1587490088559;1587490088019;19;0;3;76
1587490088711;1587490088023;14;0;5;59
1587490088833;1587490088021;19;0;16;53
1587490089566;1587490088020;17;0;8;57
1587490089845;1587490088021;18;0;14;53
1587490090121;1587490088020;19;0;12;54
1587490090300;1587490088016;10;0;4;59
1587490090461;1587490088018;18;0;9;56
1587490090757;1587490088017;19;0;11;55
1587490090983;1587490088018;3;0;7;56
1587490091162;1587490088022;19;0;20;50
1587490092617;1587490088016;19;0;13;54
1587490092677;1587490088019;19;0;6;58
1587490092997;1587490088017;18;0;10;56
1587490093197;1587490034198;18;0;18;42
1587490093349;1587490088023;18;0;19;51
1587490094717;1587490088016;19;0;17;52
1587490094875;1587490094832;19;0;9;57
1587490095186;1587490094836;19;0;15;54
1587490095417;1587490074429;18;0;18;48
1587490095492;1587490094832;19;0;3;77
1587490095612;1587490094836;16;0;5;60
1587490095760;1587490094835;19;0;16;54
1587490095830;1587490094836;19;0;19;52
1587490096822;1587490094834;19;0;14;54
1587490097105;1587490094834;19;0;12;55
1587490097288;1587490094830;10;0;4;60
1587490097365;1587490094833;18;0;8;58
1587490097719;1587490094834;19;0;10;57
1587490097945;1587490094832;3;0;7;57
1587490098101;1587490094835;19;0;20;51
1587490098822;1587490094833;19;0;6;59
1587490099563;1587490094831;19;0;13;55
1587490099926;1587490094832;19;0;11;56
1587490100149;1587490074429;18;0;18;48
1587490101659;1587490094831;19;0;17;53
1587490101807;1587490101725;19;0;9;58
1587490102122;1587490101728;19;0;15;55
1587490102357;1587490074429;18;0;18;48
1587490102433;1587490101725;19;0;3;78
1587490102561;1587490101728;18;0;5;61
1587490102707;1587490101727;19;0;16;55
1587490102771;1587490101727;19;0;19;53
1587490103759;1587490101726;19;0;14;55
1587490104056;1587490101726;19;0;12;56
1587490104241;1587490101723;10;0;4;61
1587490104311;1587490101726;18;0;8;59
1587490104665;1587490101724;19;0;10;58
1587490104902;1587490101725;3;0;7;58
1587490105067;1587490101727;19;0;20;52
1587490105917;1587490101726;19;0;6;60
1587490106635;1587490101724;19;0;13;56
1587490106992;1587490101725;19;0;11;57
1587490107216;1587490074429;18;0;18;48
1587490108747;1587490101724;19;0;17;54
1587490108838;1587490108787;19;0;5;62
1587490108976;1587490108781;19;0;9;59
1587490109458;1587490108786;4;0;7;59
1587490109535;1587490108787;18;0;15;56
1587490109685;1587490108787;19;0;19;54
1587490109823;1587490108786;19;0;16;56
1587490110600;1587490108781;19;0;3;79
1587490110866;1587490108786;19;0;14;56
1587490111115;1587490108785;19;0;12;57
1587490111298;1587490108787;10;0;4;62
1587490111357;1587490108782;18;0;8;60
1587490111699;1587490108787;19;0;10;59
1587490111951;1587490108782;19;0;2;80
1587490112092;1587490108787;19;0;20;53
1587490112847;1587490108782;19;0;6;61
1587490113582;1587490108780;19;0;13;57
1587490113954;1587490108780;19;0;11;58
1587490115643;1587490115531;19;0;5;63
1587490115778;1587490115527;19;0;9;60
1587490116054;1587490115526;19;0;15;57
1587490116245;1587490115528;4;0;7;60
1587490116333;1587490115527;19;0;10;60
1587490116468;1587490115531;19;0;19;55
1587490116628;1587490115529;19;0;16;57
1587490117414;1587490115528;19;0;3;80
1587490117686;1587490115529;19;0;14;57
1587490117982;1587490115529;19;0;12;58
1587490118181;1587490115527;19;0;13;58
1587490118255;1587490115529;18;0;8;61
1587490118611;1587490115527;19;0;11;59
1587490118832;1587490115528;19;0;2;81
1587490118986;1587490115530;19;0;20;54
1587490119748;1587490115528;19;0;6;62
1587490120494;1587490115526;8;0;4;63
1587490121026;1587490115530;12;0;18;54
1587490122368;1587490122272;8;0;4;64
1587490122446;1587490122274;19;0;5;64
1587490122566;1587490122271;19;0;9;61
1587490122905;1587490122271;19;0;15;58
1587490123114;1587490115530;12;0;18;54
1587490123190;1587490122272;19;0;10;61
1587490123325;1587490122273;19;0;19;56
1587490123482;1587490122273;19;0;16;58
1587490124248;1587490122271;19;0;3;81
1587490124476;1587490122273;19;0;14;58
1587490124766;1587490122272;19;0;12;59
1587490124927;1587490122271;19;0;13;59
1587490124993;1587490122272;18;0;8;62
1587490125321;1587490122271;19;0;11;60
