rec;send;queue;id_1;id_2;mes_id
1587114327960;1587114327663;19;0;3;92
1587114327982;1587114327664;18;0;5;87
1587114328413;1587114327662;19;0;4;91
1587114331866;1587114331556;19;0;2;93
1587114331898;1587114331557;19;0;5;88
1587114331936;1587114331557;19;0;5;88
1587114332301;1587114331557;19;0;3;93
1587114332329;1587114331556;19;0;4;92
1587114335866;1587114335494;18;0;5;89
1587114336219;1587114335492;18;0;2;94
1587114336240;1587114335493;18;0;3;94
1587114336294;1587114335494;18;0;5;89
1587114337062;1587114335491;18;0;4;93
1587114339661;1587114339343;19;0;2;95
1587114339685;1587114339344;18;0;5;90
1587114339716;1587114339344;18;0;5;90
1587114339750;1587114339343;19;0;3;95
1587114340160;1587114339343;19;0;4;94
1587114343581;1587114343270;19;0;2;96
1587114343603;1587114343270;19;0;3;96
1587114343984;1587114343269;19;0;4;95
1587114344010;1587114343271;16;0;5;91
1587114347350;1587114347007;19;0;2;97
1587114347409;1587114347007;18;0;5;92
1587114347434;1587114347007;18;0;5;92
1587114347832;1587114347007;18;0;5;92
1587114347862;1587114347007;19;0;3;97
1587114348219;1587114347006;19;0;4;96
1587114348257;1587114347006;19;0;4;96
1587114351207;1587114350933;19;0;2;98
1587114351243;1587114350934;19;0;5;93
1587114351268;1587114350934;19;0;5;93
1587114351644;1587114350934;19;0;3;98
1587114351669;1587114350933;19;0;4;97
1587114355541;1587114354783;18;0;2;99
1587114355559;1587114354784;18;0;3;99
1587114355596;1587114354782;18;0;4;98
1587114355914;1587114354784;17;0;5;94
1587114358931;1587114358576;19;0;2;100
1587114358958;1587114358577;19;0;5;95
1587114358985;1587114358576;19;0;4;99
1587114359004;1587114358576;19;0;3;100
1587114362716;1587114362307;19;0;2;101
1587114362741;1587114362308;18;0;5;96
1587114362779;1587114362308;19;0;3;101
1587114363162;1587114362307;19;0;4;100
1587114366146;1587114366129;18;0;5;97
1587114366172;1587114366129;18;0;5;97
1587114366545;1587114366128;19;0;2;102
1587114366566;1587114366129;19;0;3;102
1587114366612;1587114366129;19;0;3;102
1587114366638;1587114366128;19;0;4;101
1587114367016;1587114366128;19;0;4;101
1587114367051;1587114366128;19;0;4;101
1587114370104;1587114370070;19;0;2;103
1587114370126;1587114370071;18;0;5;98
1587114370161;1587114370070;19;0;3;103
1587114370560;1587114370070;19;0;4;102
1587114370580;1587114370070;19;0;4;102
1587114374362;1587114373843;18;0;2;104
1587114374383;1587114373845;18;0;3;104
1587114374837;1587114373846;18;0;5;99
1587114375249;1587114373842;18;0;4;103
1587114375271;1587114373842;18;0;4;103
1587114377956;1587114377877;19;0;2;105
1587114377982;1587114377878;18;0;5;100
1587114378021;1587114377877;19;0;4;104
1587114378049;1587114377878;19;0;3;105
1587114378473;1587114377878;19;0;3;105
1587114381912;1587114381852;19;0;2;106
1587114381928;1587114381852;19;0;5;101
1587114381962;1587114381852;19;0;3;106
1587114382355;1587114381852;19;0;4;105
1587114385708;1587114385590;19;0;2;107
1587114385727;1587114385589;19;0;3;107
1587114385761;1587114385589;19;0;4;106
1587114385785;1587114385588;18;0;5;102
1587114389617;1587114389517;19;0;2;108
1587114389656;1587114389516;18;0;5;103
1587114389683;1587114389516;18;0;5;103
1587114390050;1587114389517;18;0;3;108
1587114390073;1587114389517;18;0;3;108
1587114390098;1587114389517;19;0;4;107
1587114393557;1587114393297;18;0;5;104
1587114393929;1587114393298;18;0;2;109
1587114393946;1587114393297;18;0;3;109
1587114394767;1587114393298;16;0;4;108
1587114397387;1587114397240;17;0;2;110
1587114397412;1587114397239;18;0;5;105
1587114397444;1587114397240;19;0;4;109
1587114397824;1587114397240;19;0;3;110
1587114401331;1587114401195;19;0;2;111
1587114401345;1587114401195;19;0;3;111
1587114401381;1587114401195;19;0;4;110
1587114401398;1587114401195;19;0;4;110
1587114401796;1587114401194;18;0;5;106
1587114405261;1587114405047;19;0;2;112
1587114405284;1587114405046;19;0;5;107
1587114405324;1587114405047;19;0;4;111
1587114405356;1587114405046;19;0;3;112
1587114405738;1587114405046;19;0;3;112
1587114409127;1587114408970;19;0;2;113
1587114409149;1587114408969;19;0;5;108
1587114409187;1587114408971;19;0;4;112
1587114409616;1587114408970;19;0;3;113
1587114413134;1587114412832;18;0;5;109
1587114413567;1587114412835;18;0;2;114
1587114413590;1587114412834;18;0;3;114
1587114413619;1587114412836;18;0;4;113
1587114414010;1587114412836;18;0;4;113
1587114414441;1587114412836;18;0;4;113
1587114416967;1587114416765;19;0;2;115
1587114416994;1587114416765;19;0;5;110
1587114417028;1587114416765;19;0;5;110
1587114417046;1587114416765;19;0;3;115
1587114417433;1587114416765;19;0;4;114
1587114420865;1587114420641;19;0;2;116
1587114420884;1587114420640;18;0;5;111
1587114420917;1587114420641;19;0;4;115
1587114421325;1587114420640;19;0;3;116
1587114424775;1587114424506;19;0;2;117
1587114424796;1587114424505;18;0;5;112
1587114424821;1587114424506;19;0;3;117
1587114425215;1587114424506;19;0;4;116
