rec;send;queue;id_1;id_2;my_id
1587121184055;1587121183990;5;0;2;231
1587121184279;1587121183990;9;0;5;215
1587121184316;1587121091328;11;0;3;10
1587121184435;1587121183989;3;0;4;199
1587121184549;1587121184474;5;0;2;232
1587121184747;1587121184473;9;0;5;216
1587121184773;1587121094034;5;0;3;17
1587121184885;1587121184474;3;0;4;200
1587121184988;1587121184911;5;0;2;233
1587121185209;1587121184911;9;0;5;217
1587121185238;1587121094034;5;0;3;17
1587121185334;1587121184909;3;0;4;201
1587121185611;1587121185353;9;0;5;218
1587121185637;1587121185353;4;0;2;234
1587121185736;1587121185354;3;0;4;202
1587121185780;1587121185763;5;0;2;235
1587121186067;1587121185763;9;0;5;219
1587121186090;1587121185763;3;0;3;124
1587121186180;1587121185762;3;0;4;203
1587121186217;1587121186200;5;0;2;236
1587121186614;1587121186200;9;0;5;220
1587121186641;1587121096421;4;0;2;25
1587121186771;1587121186200;3;0;4;204
1587121186820;1587121186798;6;0;2;237
1587121186889;1587121095625;4;0;2;24
1587121187188;1587121186798;9;0;5;221
1587121187220;1587121186200;3;0;3;125
1587121187350;1587121186797;3;0;4;205
1587121187391;1587121187365;7;0;2;238
1587121187472;1587121096646;3;0;2;26
1587121187698;1587121187364;9;0;5;222
1587121187726;1587121187364;3;0;3;126
1587121187819;1587121187365;3;0;4;206
1587121187861;1587121187830;7;0;2;239
1587121187934;1587121137972;2;0;2;127
1587121188142;1587121187830;9;0;5;223
1587121188257;1587121187829;3;0;4;207
1587121188302;1587121188261;7;0;2;240
1587121188554;1587121188262;9;0;5;224
1587121188582;1587121187831;3;0;3;127
1587121188694;1587121188263;3;0;4;208
1587121188734;1587121188673;7;0;2;241
1587121188998;1587121188673;9;0;5;225
1587121189109;1587121189086;3;0;4;209
1587121189143;1587121189086;6;0;2;242
1587121189380;1587121189087;9;0;5;226
1587121189493;1587121189462;3;0;4;210
1587121189524;1587121189462;6;0;2;243
1587121189776;1587121189461;9;0;5;227
1587121189801;1587121187831;3;0;3;127
1587121189901;1587121189880;3;0;4;211
1587121189933;1587121189880;6;0;2;244
1587121190263;1587121189880;9;0;5;228
1587121190381;1587121189880;3;0;4;211
1587121190423;1587121190339;5;0;2;245
1587121190765;1587121190338;9;0;5;229
1587121190921;1587121190872;3;0;4;212
1587121190975;1587121190872;5;0;2;246
1587121191287;1587121190872;8;0;5;230
1587121191315;1587121189879;3;0;3;128
1587121191406;1587121191372;3;0;4;213
1587121191448;1587121191372;5;0;2;247
1587121191698;1587121191372;9;0;5;231
1587121191724;1587121191373;3;0;3;129
1587121191826;1587121191789;3;0;4;214
1587121191870;1587121191790;5;0;2;248
1587121192113;1587121191789;9;0;5;232
1587121192231;1587121192182;3;0;4;215
1587121192280;1587121192182;4;0;2;249
1587121192510;1587121192182;9;0;5;233
1587121192626;1587121192588;3;0;4;216
1587121192676;1587121192588;4;0;2;250
1587121192899;1587121192589;9;0;5;234
